IDs symbol logFC AveExpr t P.Value adj.P.Val B
18 ABAT 1.23997018184259 6.30577265671642 4.98956494321655 4.36310635704978e-06 0.000110636671319678 3.96227091889742
10257 ABCC4 2.32196098458361 7.2412977467247 7.5580460986452 1.30579838941916e-10 3.62019545482567e-08 13.9722167885123
11057 ABHD2 1.4314154048516 7.47780121393035 6.12955531360756 4.86931951433954e-08 3.26605679553748e-06 8.26932667911399
47 ACLY 1.21883514242274 8.89272355721393 6.96103332602049 1.58602681312039e-09 2.42487172979503e-07 11.5655924538183
55 ACP3 1.76974813008192 7.6765037761194 6.11649863616254 5.1344843517371e-08 3.40004245623151e-06 8.21835364035635
2180 ACSL1 1.53073574530463 7.27129482089552 5.38866309061181 9.36778758726887e-07 3.30143063223867e-05 5.43229237886701
2181 ACSL3 1.15284895132351 6.44115732835821 4.50640735223558 2.6300453477145e-05 0.000436444795810276 2.25400496649701
70 ACTC1 -1.44557175907677 5.49926243283582 -3.65469543379568 0.000498945209417007 0.00404867661251046 -0.513755089852483
80332 ADAM33 -1.16752520052569 7.38909253731343 -7.92804502429749 2.75861049703662e-11 1.04290523754332e-08 15.4707942523504
3899 AFF3 1.16663379594311 5.99493820141722 4.23715872471743 6.89724317896632e-05 0.000895779996378806 1.34213557555867
220 ALDH1A3 1.07767098320318 7.90519925373134 3.80454817694267 0.000304453064498565 0.00276924434388393 -0.0528532437905485
247 ALOX15B 1.38129108259809 7.36725371013419 2.88929972348012 0.00515982750351549 0.0239750376046028 -2.66096718339108
262 AMD1 1.79222249077504 7.89873021641791 5.54586559447714 5.05188352627161e-07 2.00465294201843e-05 6.02369314459279
50636 ANO7 1.9847070633729 9.32336958208955 4.83341325010824 7.86438613556592e-06 0.000173592548743973 3.40089362514507
306 ANXA3 2.01873244474412 6.02729286567164 9.69353519667536 1.7089362883064e-14 3.94821247141721e-11 22.5802628545907
57221 ARFGEF3 1.19995570001987 6.03627379104478 5.8019713254057 1.82511079341843e-07 8.92930087707047e-06 7.00011974636242
384 ARG2 1.72256513930502 6.74022812686567 3.86321746557443 0.00025017240762198 0.00238725785758781 0.130856704183505
54848 ARHGEF38 1.44492089118396 5.89960908955224 6.32507130860653 2.19399985968323e-08 1.72601811846963e-06 9.03601696505299
445 ASS1 -1.29634829550503 7.99289495522388 -6.65128931563519 5.73364050045684e-09 5.99093401638186e-07 10.327689178773
477 ATP1A2 -1.11902701233349 5.60070419402985 -5.39247201770883 9.22933208445281e-07 3.26369901415013e-05 5.44654470468278
481 ATP1B1 -1.40399399735385 5.37802402238806 -7.82830784075292 4.19570790797218e-11 1.47866702594009e-08 15.0666094696191
549 AUH 1.01817650178723 5.48925070149254 5.07054765488134 3.20484620968167e-06 8.8145988409935e-05 4.25661733639325
563 AZGP1 1.36341236080308 9.83644692537314 3.81041504663962 0.000298555066090805 0.00272992765577226 -0.0345635871781624
646282 AZGP1P1 1.00423442126104 5.44480134328358 4.60370962525899 1.8436404421267e-05 0.000331329435722909 2.59097423733312
658 BMPR1B 1.8751240362212 6.33402056218906 6.27883449672099 2.65058994754301e-08 1.98966486567732e-06 8.85415193237704
664 BNIP3 1.07431739574779 6.14678680597015 6.17030340787211 4.12592912198945e-08 2.87887396756801e-06 8.42859595950937
64073 C19orf33 -1.0641312401715 5.79075894029851 -4.56802271789159 2.10105998467726e-05 0.000367120506398271 2.46694807042039
79098 C1orf116 1.18552453545845 7.34190979104478 4.67139638004182 1.43704473633986e-05 0.000275044017467507 2.82757547684974
401546 C9orf152 1.45743889347462 4.78996723880597 5.6337854456893 3.56748299606004e-07 1.51976148753922e-05 6.35716904961059
124583 CANT1 1.08603994832895 7.56479932558489 5.35796826084295 1.05606846423648e-06 3.64159727642939e-05 5.31758202469159
112464 CAVIN3 -1.04928021273143 5.97331567164179 -8.03163610329006 1.78442958075669e-11 7.42072885453478e-09 15.8906553647424
83643 CCDC3 -1.31854084139785 5.96024053731343 -6.74985760280496 3.81296819070247e-09 4.40461375495981e-07 10.7205623632836
151887 CCDC80 -1.04470158581561 6.87047380223881 -5.13012103681876 2.55095605947536e-06 7.46020103300579e-05 4.47448275518137
999 CDH1 1.04226259141153 9.35097974626866 6.22115926348535 3.3540356405126e-08 2.42980954926527e-06 8.62776561611255
1038 CDR1 -1.49986370670148 3.83586343283582 -12.7214495998184 9.67959529857156e-20 2.01267825043198e-15 34.1115986292644
79846 CFAP69 1.19910035735893 5.56845969059364 2.96660983079976 0.00413801286451851 0.0204277543902976 -2.46111569146755
1675 CFD -1.72856953675341 7.68687374626866 -8.01037059140616 1.9513668702542e-11 7.95583751631287e-09 15.8044637188388
3075 CFH -1.027335110153 3.95037171641791 -7.38685373853565 2.67721696611615e-10 6.11729366774211e-08 13.2801462354076
84191 CIAO2A 1.22726130089892 6.09366671641791 5.89171699082584 1.27333318623603e-07 6.78882485677071e-06 7.34573088145997
22802 CLCA4 -1.1363312588085 2.79230826865672 -7.52674346032673 1.48911190396522e-10 3.96962869476266e-08 13.8455872306326
1365 CLDN3 1.20151759129385 8.3691991641791 5.99644698327082 8.3492821591142e-08 4.93200636177447e-06 7.75111070617165
1191 CLU -1.06004746552156 7.56242597280797 -5.74953696477723 2.25067244109192e-07 1.0540142357573e-05 6.7989894576696
1271 CNTFR -1.07817583995479 6.04235434328358 -8.46099666367406 2.93471074129341e-12 1.91067380109851e-09 17.6299174847976
26047 CNTNAP2 1.63192385635164 5.82561444776119 4.91440346405498 5.79927402189031e-06 0.00013701723002377 3.69101847100829
50509 COL5A3 -1.24864845279946 5.32017532089552 -11.0603631121539 6.47799729941576e-17 3.3674249461688e-13 27.9214477220049
1360 CPB1 1.1293424841796 4.6932198358209 3.09681982196909 0.00283035145365448 0.0150939978906996 -2.11541938029132
131034 CPNE4 1.41259904043241 5.15938652985075 4.25615590866599 6.44980342810262e-05 0.000857485694888348 1.40543669200944
148327 CREB3L4 1.00231759799652 8.08971358208955 7.0763736464185 9.80728880801112e-10 1.64453996923367e-07 12.028786454217
1410 CRYAB -1.44563566391165 7.94099265671642 -6.1572955317429 4.35012411675674e-08 2.99378449923559e-06 8.37772208097673
202 CRYBG1 1.39440611484051 6.23197285074627 5.75018644154424 2.24484489462035e-07 1.05365823688128e-05 6.80147706379925
23316 CUX2 1.49782179298962 6.16789060433531 6.56093875592594 8.32567833090696e-09 7.90483239883782e-07 9.96855398505628
